Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.111000,1,0.759360,-0.758946,90.990402,1.423800,88.631387,1.613640,110.079009,50.658754,0
0.112000,1,0.772920,-0.772413,91.006158,1.449225,88.608636,1.642455,110.031214,51.066887,0
0.113000,1,0.786600,-0.785987,91.022004,1.474875,88.585743,1.671525,109.983026,51.474151,0
0.114000,1,0.800400,-0.799668,91.037940,1.500750,88.562709,1.700850,109.934444,51.880554,0
0.115000,1,0.814320,-0.813453,91.053965,1.526850,88.539534,1.730430,109.885470,52.286102,0
0.116000,1,0.828360,-0.827344,91.070078,1.553175,88.516221,1.760265,109.836103,52.690802,0
0.117000,1,0.842520,-0.841338,91.086278,1.579725,88.492771,1.790355,109.786345,53.094661,0
0.118000,1,0.856800,-0.855436,91.102565,1.606500,88.469183,1.820700,109.736196,53.497686,0
0.119000,1,0.871200,-0.869636,91.118937,1.633500,88.445460,1.851300,109.685656,53.899884,0
0.120000,1,0.885720,-0.883937,91.135395,1.660725,88.421603,1.882155,109.634727,54.301263,0
0.121000,1,0.900360,-0.898339,91.151938,1.688175,88.397612,1.913265,109.583408,54.701828,0
0.122000,1,0.915120,-0.912841,91.168564,1.715850,88.373489,1.944630,109.531701,55.101586,0
0.123000,1,0.930000,-0.927442,91.185274,1.743750,88.349235,1.976250,109.479606,55.500546,0
0.124000,1,0.945000,-0.942141,91.202066,1.771875,88.324851,2.008125,109.427124,55.898712,0
0.125000,1,0.960120,-0.956938,91.218940,1.800225,88.300338,2.040255,109.374254,56.296093,0
0.126000,1,0.975360,-0.971832,91.235895,1.828800,88.275697,2.072640,109.320999,56.692694,0
0.127000,1,0.990720,-0.986822,91.252930,1.857600,88.250929,2.105280,109.267357,57.088523,0
0.128000,1,1.006200,-1.001907,91.270045,1.886625,88.226035,2.138175,109.213331,57.483586,0
0.129000,1,1.021800,-1.017087,91.287239,1.915875,88.201016,2.171325,109.158920,57.877890,0
0.130000,1,1.037520,-1.032361,91.304512,1.945350,88.175873,2.204730,109.104125,58.271441,0
0.131000,1,1.053360,-1.047728,91.321862,1.975050,88.150608,2.238390,109.048946,58.664247,0
0.132000,1,1.069320,-1.063187,91.339290,2.004975,88.125221,2.272305,108.993385,59.056313,0
0.133000,1,1.085400,-1.078737,91.356793,2.035125,88.099713,2.306475,108.937441,59.447646,0
0.134000,1,1.101600,-1.094379,91.374373,2.065500,88.074086,2.340900,108.881116,59.838252,0
0.135000,1,1.117920,-1.110111,91.392027,2.096100,88.048340,2.375580,108.824410,60.228139,0
0.136000,1,1.134360,-1.125932,91.409756,2.126925,88.022476,2.410515,108.767322,60.617313,0
0.137000,1,1.150920,-1.141841,91.427559,2.157975,87.996496,2.445705,108.709855,61.005779,0
