Time,Step,Target_X,Target_Y,Target_Z,Actual_X,Actual_Y,Actual_Z,Q_Error,Exec_us
0.5280,1,0.4552,0.0345,0.4552,0,0,0,0.3774,0.3740
0.5290,1,0.4552,0.0345,0.4552,0,0,0,0.3758,0.0990
0.5300,1,0.4552,0.0345,0.4552,0,0,0,0.3742,0.1240
0.5310,1,0.4552,0.0345,0.4552,0,0,0,0.3727,0.1760
0.5320,1,0.4552,0.0345,0.4552,0,0,0,0.3700,0.1290
0.5330,1,0.4552,0.0345,0.4552,0,0,0,0.3685,0.1290
0.5340,1,0.4552,0.0345,0.4552,0,0,0,0.3453,0.0970
0.5350,1,0.4552,0.0345,0.4552,0,0,0,0.3441,0.1010
0.5360,1,0.4552,0.0345,0.4552,0,0,0,0.3642,0.1270
0.5370,1,0.4552,0.0345,0.4552,0,0,0,0.3415,0.0980
0.5380,1,0.4552,0.0345,0.4552,0,0,0,0.3629,0.2920
0.5390,1,0.4552,0.0345,0.4552,0,0,0,0.3605,0.1100
0.5400,1,0.4552,0.0345,0.4552,0,0,0,0.3817,0.1300
0.5410,1,0.4552,0.0345,0.4552,0,0,0,0.3803,0.1260
0.5420,1,0.4552,0.0345,0.4552,0,0,0,0.3578,0.0970
0.5430,1,0.4552,0.0345,0.4552,0,0,0,0.3563,0.0980
0.5440,1,0.4552,0.0345,0.4552,0,0,0,0.3758,0.1230
0.5450,1,0.4552,0.0345,0.4552,0,0,0,0.3534,0.0970
0.5460,1,0.4552,0.0345,0.4552,0,0,0,0.3730,0.1290
0.5470,1,0.4552,0.0345,0.4552,0,0,0,0.3716,0.1010
0.5480,1,0.4552,0.0345,0.4552,0,0,0,0.3702,0.1300
0.5490,1,0.4552,0.0345,0.4552,0,0,0,0.3687,0.1310
0.5500,1,0.4552,0.0345,0.4552,0,0,0,0.3467,0.0960
0.5510,1,0.4552,0.0345,0.4552,0,0,0,0.3658,0.1000
0.5520,1,0.4552,0.0345,0.4552,0,0,0,0.3439,0.0960
0.5530,1,0.4552,0.0345,0.4552,0,0,0,0.3628,0.1270
0.5540,1,0.4552,0.0345,0.4552,0,0,0,0.3613,0.1290
0.5550,1,0.4552,0.0345,0.4552,0,0,0,0.3397,0.0990
0.5560,1,0.4552,0.0345,0.4552,0,0,0,0.3383,0.1950
0.5570,1,0.4552,0.0345,0.4552,0,0,0,0.3569,0.1270
0.5580,1,0.4552,0.0345,0.4552,0,0,0,0.3341,0.1010
0.5590,1,0.4552,0.0345,0.4552,0,0,0,0.3130,0.0950
0.5600,1,0.4552,0.0345,0.4552,0,0,0,0.3314,0.1050
0.5610,1,0.4552,0.0345,0.4552,0,0,0,0.3300,0.1310
