Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.1320,1,0.0000,0.0000,1.5920,0.0000,0.0000,0.0000,88.4080,0.2160,0
0.1330,1,0.0000,0.0000,1.6160,0.0000,0.0000,0.0000,88.3840,0.2170,0
0.1340,1,0.0000,0.0000,1.6403,0.0000,0.0000,0.0000,88.3597,0.2150,0
0.1350,1,0.0000,0.0000,1.6646,0.0000,0.0000,0.0000,88.3354,0.2120,0
0.1360,1,0.0000,0.0000,1.6892,0.0000,0.0000,0.0000,88.3108,0.2130,0
0.1370,1,0.0000,0.0000,1.7140,0.0000,0.0000,0.0000,88.2860,0.2120,0
0.1380,1,0.0000,0.0000,1.7389,0.0000,0.0000,0.0000,88.2611,0.2130,0
0.1390,1,0.0000,0.0000,1.7640,0.0000,0.0000,0.0000,88.2360,0.2110,0
0.1400,1,0.0000,0.0000,1.7893,0.0000,0.0000,0.0000,88.2107,0.2130,0
0.1410,1,0.0000,0.0000,1.8148,0.0000,0.0000,0.0000,88.1852,0.2260,0
0.1420,1,0.0000,0.0000,1.8404,0.0000,0.0000,0.0000,88.1596,0.2120,0
0.1430,1,0.0000,0.0000,1.8662,0.0000,0.0000,0.0000,88.1338,0.2130,0
0.1440,1,0.0000,0.0000,1.8923,0.0000,0.0000,0.0000,88.1077,0.2120,0
0.1450,1,0.0000,0.0000,1.9184,0.0000,0.0000,0.0000,88.0816,0.2120,0
0.1460,1,0.0000,0.0000,1.9448,0.0000,0.0000,0.0000,88.0552,0.2120,0
0.1470,1,0.0000,0.0000,1.9714,0.0000,0.0000,0.0000,88.0286,0.2110,0
0.1480,1,0.0000,0.0000,1.9981,0.0000,0.0000,0.0000,88.0019,0.2110,0
0.1490,1,0.0000,0.0000,2.0250,0.0000,0.0000,0.0000,87.9750,0.2130,0
0.1500,1,0.0000,0.0000,2.0521,0.0000,0.0000,0.0000,87.9479,0.2120,0
0.1510,1,0.0000,0.0000,2.0794,0.0000,0.0000,0.0000,87.9206,0.2120,0
0.1520,1,0.0000,0.0000,2.1068,0.0000,0.0000,0.0000,87.8932,0.2150,0
0.1530,1,0.0000,0.0000,2.1344,0.0000,0.0000,0.0000,87.8656,0.2140,0
0.1540,1,0.0000,0.0000,2.1623,0.0000,0.0000,0.0000,87.8377,0.2320,0
0.1550,1,0.0000,0.0000,2.1902,0.0000,0.0000,0.0000,87.8098,0.2140,0
0.1560,1,0.0000,0.0000,2.2184,0.0000,0.0000,0.0000,87.7816,0.2130,0
0.1570,1,0.0000,0.0000,2.2468,0.0000,0.0000,0.0000,87.7532,0.2120,0
0.1580,1,0.0000,0.0000,2.2753,0.0000,0.0000,0.0000,87.7247,0.2110,0
0.1590,1,0.0000,0.0000,2.3040,0.0000,0.0000,0.0000,87.6960,0.2160,0
0.1600,1,0.0000,0.0000,2.3329,0.0000,0.0000,0.0000,87.6671,0.2140,0
0.1610,1,0.0000,0.0000,2.3620,0.0000,0.0000,0.0000,87.6380,0.2110,0
0.1620,1,0.0000,0.0000,2.3912,0.0000,0.0000,0.0000,87.6088,0.2130,0
0.1630,1,0.0000,0.0000,2.4206,0.0000,0.0000,0.0000,87.5794,0.2120,0
0.1640,1,0.0000,0.0000,2.4503,0.0000,0.0000,0.0000,87.5498,0.2110,0
0.1650,1,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,87.5200,0.2120,0
0.1660,1,0.0000,0.0000,2.5100,0.0000,0.0000,0.0000,87.4900,0.2120,0
0.1670,1,0.0000,0.0000,2.5402,0.0000,0.0000,0.0000,87.4598,0.2140,0
0.1680,1,0.0000,0.0000,2.5705,0.0000,0.0000,0.0000,87.4295,0.2130,0
0.1690,1,0.0000,0.0000,2.6010,0.0000,0.0000,0.0000,87.3990,0.2130,0
0.1700,1,0.0000,0.0000,2.6317,0.0000,0.0000,0.0000,87.3683,0.2120,0
0.1710,1,0.0000,0.0000,2.6626,0.0000,0.0000,0.0000,87.3374,0.2120,0
0.1720,1,0.0000,0.0000,2.6936,0.0000,0.0000,0.0000,87.3064,0.2140,0
0.1730,1,0.0000,0.0000,2.7248,0.0000,0.0000,0.0000,87.2752,0.2130,0
0.1740,1,0.0000,0.0000,2.7563,0.0000,0.0000,0.0000,87.2437,0.2360,0
0.1750,1,0.0000,0.0000,2.7878,0.0000,0.0000,0.0000,87.2122,0.2140,0
0.1760,1,0.0000,0.0000,2.8196,0.0000,0.0000,0.0000,87.1804,0.2110,0
0.1770,1,0.0000,0.0000,2.8516,0.0000,0.0000,0.0000,87.1484,0.2120,0
0.1780,1,0.0000,0.0000,2.8837,0.0000,0.0000,0.0000,87.1163,0.2130,0
0.1790,1,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,87.0840,0.2130,0
0.1800,1,0.0000,0.0000,2.9485,0.0000,0.0000,0.0000,87.0515,0.2170,0
0.1810,1,0.0000,0.0000,2.9812,0.0000,0.0000,0.0000,87.0188,0.2140,0
0.1820,1,0.0000,0.0000,3.0140,0.0000,0.0000,0.0000,86.9860,0.2170,0
0.1830,1,0.0000,0.0000,3.0470,0.0000,0.0000,0.0000,86.9530,0.2130,0
0.1840,1,0.0000,0.0000,3.0803,0.0000,0.0000,0.0000,86.9197,0.2120,0
0.1850,1,0.0000,0.0000,3.1136,0.0000,0.0000,0.0000,86.8864,0.2130,0
0.1860,1,0.0000,0.0000,3.1472,0.0000,0.0000,0.0000,86.8528,0.2150,0
0.1870,1,0.0000,0.0000,3.1810,0.0000,0.0000,0.0000,86.8190,0.2140,0
0.1880,1,0.0000,0.0000,3.2149,0.0000,0.0000,0.0000,86.7851,0.2120,0
0.1890,1,0.0000,0.0000,3.2490,0.0000,0.0000,0.0000,86.7510,0.2130,0
0.1900,1,0.0000,0.0000,3.2833,0.0000,0.0000,0.0000,86.7167,0.2120,0
0.1910,1,0.0000,0.0000,3.3178,0.0000,0.0000,0.0000,86.6822,0.2150,0
0.1920,1,0.0000,0.0000,3.3524,0.0000,0.0000,0.0000,86.6476,0.2130,0
0.1930,1,0.0000,0.0000,3.3872,0.0000,0.0000,0.0000,86.6128,0.2140,0
0.1940,1,0.0000,0.0000,3.4223,0.0000,0.0000,0.0000,86.5777,0.2160,0
0.1950,1,0.0000,0.0000,3.4574,0.0000,0.0000,0.0000,86.5426,0.2140,0
0.1960,1,0.0000,0.0000,3.4928,0.0000,0.0000,0.0000,86.5072,0.2130,0
0.1970,1,0.0000,0.0000,3.5284,0.0000,0.0000,0.0000,86.4716,0.2180,0
0.1980,1,0.0000,0.0000,3.5641,0.0000,0.0000,0.0000,86.4359,0.2140,0
0.1990,1,0.0000,0.0000,3.6000,0.0000,0.0000,0.0000,86.4000,0.2130,0
0.2000,1,0.0000,0.0000,3.6361,0.0000,0.0000,0.0000,86.3639,0.2140,0
0.2010,1,0.0000,0.0000,3.6724,0.0000,0.0000,0.0000,86.3276,0.2240,0
0.2020,1,0.0000,0.0000,3.7088,0.0000,0.0000,0.0000,86.2912,0.2190,0
0.2030,1,0.0000,0.0000,3.7454,0.0000,0.0000,0.0000,86.2546,0.2150,0
0.2040,1,0.0000,0.0000,3.7823,0.0000,0.0000,0.0000,86.2177,0.2180,0
0.2050,1,0.0000,0.0000,3.8192,0.0000,0.0000,0.0000,86.1808,0.2400,0
0.2060,1,0.0000,0.0000,3.8564,0.0000,0.0000,0.0000,86.1436,0.2140,0
0.2070,1,0.0000,0.0000,3.8938,0.0000,0.0000,0.0000,86.1062,0.2120,0
0.2080,1,0.0000,0.0000,3.9313,0.0000,0.0000,0.0000,86.0687,0.2140,0
0.2090,1,0.0000,0.0000,3.9690,0.0000,0.0000,0.0000,86.0310,0.2140,0
0.2100,1,0.0000,0.0000,4.0069,0.0000,0.0000,0.0000,85.9931,0.2130,0
0.2110,1,0.0000,0.0000,4.0450,0.0000,0.0000,0.0000,85.9550,0.2130,0
0.2120,1,0.0000,0.0000,4.0832,0.0000,0.0000,0.0000,85.9168,0.2130,0
0.2130,1,0.0000,0.0000,4.1216,0.0000,0.0000,0.0000,85.8784,0.2190,0
0.2140,1,0.0000,0.0000,4.1603,0.0000,0.0000,0.0000,85.8397,0.2120,0
0.2150,1,0.0000,0.0000,4.1990,0.0000,0.0000,0.0000,85.8010,0.2120,0
0.2160,1,0.0000,0.0000,4.2380,0.0000,0.0000,0.0000,85.7620,0.2130,0
0.2170,1,0.0000,0.0000,4.2772,0.0000,0.0000,0.0000,85.7228,0.2110,0
0.2180,1,0.0000,0.0000,4.3165,0.0000,0.0000,0.0000,85.6835,0.2140,0
0.2190,1,0.0000,0.0000,4.3560,0.0000,0.0000,0.0000,85.6440,0.2170,0
0.2200,1,0.0000,0.0000,4.3957,0.0000,0.0000,0.0000,85.6043,0.2130,0
0.2210,1,0.0000,0.0000,4.4356,0.0000,0.0000,0.0000,85.5644,0.2110,0
0.2220,1,0.0000,0.0000,4.4756,0.0000,0.0000,0.0000,85.5244,0.2140,0
0.2230,1,0.0000,0.0000,4.5158,0.0000,0.0000,0.0000,85.4842,0.2110,0
0.2240,1,0.0000,0.0000,4.5563,0.0000,0.0000,0.0000,85.4437,0.2120,0
