time,q1,q2,q3,q4,q5,q6,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
0.0460,0.000000,-0.444131,1.332392,-0.888261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.266397,0.034500,0.712350,0.167373,0.034500,1.064946,0.167373,0.034500,1.064946,0.261267,0.034500,1.141269
0.0470,0.000000,-0.455208,1.365625,-0.910417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.272583,0.034500,0.709365,0.168893,0.034500,1.052265,0.168893,0.034500,1.052265,0.264454,0.034500,1.126488
0.0480,0.000000,-0.466033,1.398100,-0.932067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.278595,0.034500,0.706382,0.170201,0.034500,1.039644,0.170201,0.034500,1.039644,0.267346,0.034500,1.111781
0.0490,0.000000,-0.475954,1.427861,-0.951908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.284076,0.034500,0.703591,0.171243,0.034500,1.027884,0.171243,0.034500,1.027884,0.269800,0.034500,1.098079
0.0500,0.000000,-0.484937,1.454810,-0.969873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.289014,0.034500,0.701017,0.172057,0.034500,1.017078,0.172057,0.034500,1.017078,0.271859,0.034500,1.085491
0.0510,0.000000,-0.492982,1.478947,-0.985964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.293418,0.034500,0.698674,0.172679,0.034500,1.007275,0.172679,0.034500,1.007275,0.273569,0.034500,1.074074
0.0520,0.000000,-0.500090,1.500270,-1.000180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.297293,0.034500,0.696574,0.173144,0.034500,0.998519,0.173144,0.034500,0.998519,0.274974,0.034500,1.063877
0.0530,0.000000,-0.506261,1.518782,-1.012521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.300644,0.034500,0.694730,0.173483,0.034500,0.990845,0.173483,0.034500,0.990845,0.276111,0.034500,1.054942
0.0540,0.000000,-0.511493,1.534480,-1.022987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.303478,0.034500,0.693149,0.173722,0.034500,0.984286,0.173722,0.034500,0.984286,0.277016,0.034500,1.047305
0.0550,0.000000,-0.515789,1.547367,-1.031578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.305797,0.034500,0.691840,0.173886,0.034500,0.978868,0.173886,0.034500,0.978868,0.277718,0.034500,1.040997
0.0560,0.000000,-0.519147,1.557441,-1.038294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.307607,0.034500,0.690811,0.173994,0.034500,0.974610,0.173994,0.034500,0.974610,0.278240,0.034500,1.036040
0.0570,0.000000,-0.521567,1.564702,-1.043135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.308909,0.034500,0.690064,0.174060,0.034500,0.971529,0.174060,0.034500,0.971529,0.278602,0.034500,1.032454
0.0580,0.000000,-0.523050,1.569151,-1.046100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.309705,0.034500,0.689606,0.174096,0.034500,0.969637,0.174096,0.034500,0.969637,0.278818,0.034500,1.030252
0.0590,0.000000,-0.523596,1.570787,-1.047191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.309998,0.034500,0.689437,0.174108,0.034500,0.968940,0.174108,0.034500,0.968940,0.278897,0.034500,1.029440
2.0010,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0020,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0030,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0040,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0050,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0060,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0070,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0080,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0090,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0100,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0110,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0120,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0130,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
