Time,Desired_Q,Desired_DQ,Desired_DDQ
0.325,5.78045,22.049,-120
0.326,5.80238,21.929,-120
0.327,5.82419,21.809,-120
0.328,5.84587,21.689,-120
0.329,5.86744,21.569,-120
0.33,5.88889,21.449,-120
0.331,5.91022,21.329,-120
0.332,5.93143,21.209,-120
0.333,5.95252,21.089,-120
0.334,5.97349,20.969,-120
0.335,5.99434,20.849,-120
0.336,6.01507,20.729,-120
0.337,6.03568,20.609,-120
0.338,6.05616,20.489,-120
0.339,6.07653,20.369,-120
0.34,6.09678,20.249,-120
0.341,6.11691,20.129,-120
0.342,6.13692,20.009,-120
0.343,6.15681,19.889,-120
0.344,6.17658,19.769,-120
0.345,6.19623,19.649,-120
0.346,6.21576,19.529,-120
0.347,6.23517,19.409,-120
0.348,6.25445,19.289,-120
0.349,6.27362,19.169,-120
0.35,6.29267,19.049,-120
0.351,6.3116,18.929,-120
0.352,6.33041,18.809,-120
0.353,6.3491,18.689,-120
0.354,6.36767,18.569,-120
0.355,6.38612,18.449,-120
0.356,6.40445,18.329,-120
0.357,6.42266,18.209,-120
0.358,6.44074,18.089,-120
0.359,6.45871,17.969,-120
0.36,6.47656,17.849,-120
0.361,6.49429,17.729,-120
0.362,6.5119,17.609,-120
0.363,6.52939,17.489,-120
0.364,6.54676,17.369,-120
0.365,6.56403,17.2662,-102.795
0.366,6.58121,17.1799,-86.331
0.367,6.5983,17.094,-85.8994
0.368,6.61531,17.0085,-85.4699
0.369,6.63223,16.9235,-85.0425
0.37,6.64907,16.8388,-84.6173
0.371,6.66582,16.7547,-84.1942
0.372,6.6825,16.6709,-83.7733
0.373,6.69908,16.5875,-83.3544
0.374,6.71559,16.5046,-82.9376
0.375,6.73201,16.4221,-82.5229
0.376,6.74835,16.34,-82.1103
0.377,6.76461,16.2583,-81.6998
0.378,6.78078,16.177,-81.2913
0.379,6.79688,16.0961,-80.8848
0.38,6.8129,16.0156,-80.4804
0.381,6.82883,15.9355,-80.078
0.382,6.84469,15.8558,-79.6776
0.383,6.86046,15.7766,-79.2792
0.384,6.87616,15.6977,-78.8828
0.385,6.89178,15.6192,-78.4884
0.386,6.90732,15.5411,-78.0959
0.387,6.92279,15.4634,-77.7055
0.388,6.93817,15.3861,-77.3169
0.389,6.95348,15.3091,-76.9304
0.39,6.96871,15.2326,-76.5457
0.391,6.98387,15.1564,-76.163
0.392,6.99895,15.0807,-75.7822
0.393,7.01396,15.0052,-75.4033
0.394,7.02889,14.9302,-75.0262
0.395,7.04374,14.8556,-74.6511
0.396,7.05852,14.7813,-74.2778
0.397,7.07323,14.7074,-73.9065
0.398,7.08786,14.6338,-73.5369
0.399,7.10242,14.5607,-73.1692
0.4,7.11691,14.4879,-72.8034
0.401,7.13133,14.4154,-72.4394
0.402,7.14567,14.3434,-72.0772
0.403,7.15994,14.2716,-71.7168
0.404,7.17414,14.2003,-71.3582
0.405,7.18827,14.1293,-71.0014
0.406,7.20233,14.0586,-70.6464
0.407,7.21632,13.9883,-70.2932
0.408,7.23024,13.9184,-69.9417
0.409,7.24409,13.8488,-69.592
0.41,7.25787,13.7796,-69.244
0.411,7.27158,13.7107,-68.8978
0.412,7.28522,13.6421,-68.5533
0.413,7.29879,13.5739,-68.2106
0.414,7.3123,13.506,-67.8695
0.415,7.32574,13.4385,-67.5302
0.416,7.33911,13.3713,-67.1925
0.417,7.35241,13.3045,-66.8566
0.418,7.36565,13.2379,-66.5223
0.419,7.37882,13.1717,-66.1897
0.42,7.39193,13.1059,-65.8587
0.421,7.40497,13.0404,-65.5294
0.422,7.41794,12.9752,-65.2018
0.423,7.43085,12.9103,-64.8758
0.424,7.4437,12.8457,-64.5514
0.425,7.45648,12.7815,-64.2286
0.426,7.4692,12.7176,-63.9075
0.427,7.48185,12.654,-63.5879
0.428,7.49444,12.5907,-63.27
0.429,7.50697,12.5278,-62.9537
0.43,7.51944,12.4651,-62.6389
0.431,7.53184,12.4028,-62.3257
0.432,7.54418,12.3408,-62.0141
0.433,7.55646,12.2791,-61.704
