Time,TCP_Z,Error_Z,Joint_V_Norm
0.358,0.653289,0.0982109,0.725116
0.359,0.653294,0.0982059,0.725119
0.36,0.653299,0.0982009,0.725123
0.361,0.653304,0.0981959,0.725126
0.362,0.653309,0.0981909,0.725129
0.363,0.653314,0.0981859,0.725132
0.364,0.653319,0.0981809,0.725136
0.365,0.653324,0.0981759,0.725139
0.366,0.653329,0.0981709,0.725142
0.367,0.653334,0.0981659,0.725145
0.368,0.653339,0.0981609,0.725148
0.369,0.653344,0.0981559,0.725152
0.37,0.653349,0.0981509,0.725155
0.371,0.653354,0.0981459,0.725158
0.372,0.653359,0.0981409,0.725161
0.373,0.653364,0.0981359,0.725165
0.374,0.653369,0.0981309,0.725168
0.375,0.653374,0.0981259,0.725171
0.376,0.653379,0.0981209,0.725174
0.377,0.653384,0.0981159,0.725177
0.378,0.653389,0.0981109,0.725181
0.379,0.653394,0.0981059,0.725184
0.38,0.653399,0.0981009,0.725187
0.381,0.653404,0.0980959,0.72519
0.382,0.653409,0.0980909,0.725194
0.383,0.653414,0.098086,0.725197
0.384,0.653419,0.098081,0.7252
0.385,0.653424,0.098076,0.725203
0.386,0.653429,0.098071,0.725206
0.387,0.653434,0.098066,0.72521
0.388,0.653439,0.098061,0.725213
0.389,0.653444,0.098056,0.725216
0.39,0.653449,0.098051,0.725219
0.391,0.653454,0.098046,0.725222
0.392,0.653459,0.098041,0.725226
0.393,0.653464,0.098036,0.725229
0.394,0.653469,0.098031,0.725232
0.395,0.653474,0.098026,0.725235
0.396,0.653479,0.098021,0.725238
0.397,0.653484,0.098016,0.725242
0.398,0.653489,0.098011,0.725245
0.399,0.653494,0.098006,0.725248
0.4,0.653499,0.098001,0.725251
0.401,0.653504,0.097996,0.725255
0.402,0.653509,0.097991,0.725258
0.403,0.653514,0.097986,0.725261
0.404,0.653519,0.097981,0.725264
0.405,0.653524,0.097976,0.725267
0.406,0.653529,0.097971,0.725271
0.407,0.653534,0.097966,0.725274
0.408,0.653539,0.097961,0.725277
0.409,0.653544,0.097956,0.72528
0.41,0.653549,0.097951,0.725283
0.411,0.653554,0.097946,0.725287
0.412,0.653559,0.097941,0.72529
0.413,0.653564,0.097936,0.725293
0.414,0.653569,0.0979311,0.725296
0.415,0.653574,0.0979261,0.725299
0.416,0.653579,0.0979211,0.725303
0.417,0.653584,0.0979161,0.725306
0.418,0.653589,0.0979111,0.725309
0.419,0.653594,0.0979061,0.725312
0.42,0.653599,0.0979011,0.725315
0.421,0.653604,0.0978961,0.725319
0.422,0.653609,0.0978911,0.725322
