Time,Step,Target_J1,Target_J2,Target_J3,Target_J4,Target_J5,Target_J6,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.1430,1,0.0000,0.0000,1.8533,0.0000,2.3166,0.0000,0.0005,-0.0137,0.6020,-0.0015,0.7936,0.0003,1.9712,0.4320
0.1440,1,0.0000,0.0000,1.8792,0.0000,2.3490,0.0000,0.0005,-0.0138,0.6175,-0.0015,0.8133,0.0003,1.9876,0.2870
0.1450,1,0.0000,0.0000,1.9053,0.0000,2.3816,0.0000,0.0005,-0.0139,0.6333,-0.0015,0.8331,0.0003,2.0040,0.0660
0.1460,1,0.0000,0.0000,1.9316,0.0000,2.4145,0.0000,0.0005,-0.0141,0.6494,-0.0015,0.8530,0.0003,2.0205,0.4610
0.1470,1,0.0000,0.0000,1.9580,0.0000,2.4476,0.0000,0.0005,-0.0142,0.6658,-0.0015,0.8731,0.0003,2.0369,0.4630
0.1480,1,0.0000,0.0000,1.9847,0.0000,2.4809,0.0000,0.0005,-0.0141,0.6822,-0.0015,0.8934,0.0003,2.0535,0.0690
0.1490,1,0.0000,0.0000,2.0115,0.0000,2.5144,0.0000,0.0005,-0.0142,0.6987,-0.0015,0.9141,0.0003,2.0699,0.0800
0.1500,1,0.0000,0.0000,2.0385,0.0000,2.5481,0.0000,0.0005,-0.0144,0.7155,-0.0015,0.9351,0.0003,2.0862,0.0690
0.1510,1,0.0000,0.0000,2.0657,0.0000,2.5821,0.0000,0.0005,-0.0143,0.7325,-0.0015,0.9562,0.0003,2.1027,0.0680
0.1520,1,0.0000,0.0000,2.0930,0.0000,2.6163,0.0000,0.0005,-0.0144,0.7497,-0.0016,0.9775,0.0003,2.1191,0.4170
0.1530,1,0.0000,0.0000,2.1206,0.0000,2.6507,0.0000,0.0005,-0.0144,0.7671,-0.0016,0.9989,0.0003,2.1355,0.0650
0.1540,1,0.0000,0.0000,2.1483,0.0000,2.6854,0.0000,0.0005,-0.0144,0.7848,-0.0016,1.0208,0.0003,2.1518,0.4170
0.1550,1,0.0000,0.0000,2.1762,0.0000,2.7203,0.0000,0.0005,-0.0144,0.8027,-0.0016,1.0429,0.0003,2.1680,0.0680
0.1560,1,0.0000,0.0000,2.2043,0.0000,2.7554,0.0000,0.0005,-0.0144,0.8208,-0.0016,1.0653,0.0003,2.1842,0.0650
0.1570,1,0.0000,0.0000,2.2325,0.0000,2.7907,0.0000,0.0005,-0.0144,0.8391,-0.0016,1.0876,0.0003,2.2005,0.4140
0.1580,1,0.0000,0.0000,2.2610,0.0000,2.8262,0.0000,0.0005,-0.0144,0.8575,-0.0016,1.1103,0.0003,2.2169,0.4380
0.1590,1,0.0000,0.0000,2.2896,0.0000,2.8620,0.0000,0.0005,-0.0142,0.8761,-0.0016,1.1331,0.0003,2.2332,0.0670
0.1600,1,0.0000,0.0000,2.3184,0.0000,2.8980,0.0000,0.0005,-0.0142,0.8950,-0.0016,1.1563,0.0003,2.2494,0.0670
0.1610,1,0.0000,0.0000,2.3474,0.0000,2.9342,0.0000,0.0005,-0.0142,0.9141,-0.0016,1.1795,0.0003,2.2657,0.0680
0.1620,1,0.0000,0.0000,2.3765,0.0000,2.9707,0.0000,0.0005,-0.0141,0.9331,-0.0016,1.2032,0.0003,2.2820,0.0680
0.1630,1,0.0000,0.0000,2.4059,0.0000,3.0074,0.0000,0.0005,-0.0140,0.9524,-0.0016,1.2268,0.0003,2.2985,0.4380
0.1640,1,0.0000,0.0000,2.4354,0.0000,3.0443,0.0000,0.0005,-0.0139,0.9718,-0.0016,1.2508,0.0003,2.3149,0.4430
0.1650,1,0.0000,0.0000,2.4651,0.0000,3.0814,0.0000,0.0005,-0.0139,0.9914,-0.0017,1.2749,0.0003,2.3314,0.0670
0.1660,1,0.0000,0.0000,2.4950,0.0000,3.1187,0.0000,0.0005,-0.0138,1.0112,-0.0017,1.2992,0.0003,2.3479,0.1820
0.1670,1,0.0000,0.0000,2.5250,0.0000,3.1563,0.0000,0.0005,-0.0138,1.0112,-0.0017,1.2992,0.0003,2.3960,0.3390
0.1680,1,0.0000,0.0000,2.5553,0.0000,3.1941,0.0000,0.0004,-0.0135,1.0720,-0.0017,1.3732,0.0003,2.3486,0.0680
0.1690,1,0.0000,0.0000,2.5857,0.0000,3.2321,0.0000,0.0004,-0.0133,1.0928,-0.0017,1.3984,0.0003,2.3646,0.5190
0.1700,1,0.0000,0.0000,2.6163,0.0000,3.2704,0.0000,0.0004,-0.0133,1.0928,-0.0017,1.3984,0.0003,2.4136,0.0660
0.1710,1,0.0000,0.0000,2.6471,0.0000,3.3089,0.0000,0.0004,-0.0131,1.1345,-0.0017,1.4494,0.0003,2.3970,0.0680
0.1720,1,0.0000,0.0000,2.6780,0.0000,3.3476,0.0000,0.0004,-0.0129,1.1558,-0.0017,1.4753,0.0003,2.4130,0.4430
