Time,Step,Q_Error,Exec_us,Reached
0.3580,1,195.2271,0.2600,0
0.3590,1,195.1139,0.2610,0
0.3600,1,195.0004,0.2610,0
0.3610,1,194.8866,0.2620,0
0.3620,1,194.7725,0.2610,0
0.3630,1,194.6582,0.2610,0
0.3640,1,194.5437,0.2620,0
0.3650,1,194.4288,0.2630,0
0.3660,1,194.3137,0.2630,0
0.3670,1,194.1984,0.2620,0
0.3680,1,194.0828,0.2640,0
0.3690,1,193.9669,0.2650,0
0.3700,1,193.8507,0.2640,0
0.3710,1,193.7343,0.2610,0
0.3720,1,193.6176,0.2620,0
0.3730,1,193.5007,0.2630,0
0.3740,1,193.3835,0.2650,0
0.3750,1,193.2660,0.2630,0
0.3760,1,193.1483,0.2620,0
0.3770,1,193.0303,0.2630,0
0.3780,1,192.9121,0.2630,0
0.3790,1,192.7936,0.2630,0
0.3800,1,192.6748,0.2610,0
0.3810,1,192.5557,0.2620,0
0.3820,1,192.4364,0.2600,0
0.3830,1,192.3168,0.2610,0
0.3840,1,192.1970,0.2620,0
0.3850,1,192.0769,0.2620,0
0.3860,1,191.9565,0.2620,0
0.3870,1,191.8359,0.2630,0
0.3880,1,191.7150,0.2600,0
0.3890,1,191.5939,0.2620,0
0.3900,1,191.4725,0.2610,0
0.3910,1,191.3508,0.2640,0
0.3920,1,191.2288,0.2620,0
0.3930,1,191.1066,0.2620,0
0.3940,1,190.9842,0.2610,0
0.3950,1,190.8614,0.2610,0
0.3960,1,190.7384,0.2610,0
0.3970,1,190.6152,0.2620,0
0.3980,1,190.4916,0.2610,0
0.3990,1,190.3678,0.2600,0
0.4000,1,190.2438,0.2610,0
0.4010,1,190.1195,0.2610,0
0.4020,1,189.9949,0.2630,0
0.4030,1,189.8700,0.2610,0
0.4040,1,189.7449,0.2620,0
0.4050,1,189.6195,0.2630,0
0.4060,1,189.4939,0.2640,0
0.4070,1,189.3680,0.2620,0
0.4080,1,189.2418,0.2620,0
0.4090,1,189.1154,0.2630,0
0.4100,1,188.9887,0.2630,0
0.4110,1,188.8618,0.2630,0
0.4120,1,188.7345,0.2660,0
0.4130,1,188.6071,0.2640,0
0.4140,1,188.4793,0.2640,0
0.4150,1,188.3513,0.2650,0
0.4160,1,188.2230,0.2650,0
0.4170,1,188.0945,0.2640,0
0.4180,1,187.9657,0.2650,0
0.4190,1,187.8366,0.2650,0
0.4200,1,187.7073,0.2630,0
0.4210,1,187.5777,0.2650,0
0.4220,1,187.4478,0.2650,0
0.4230,1,187.3177,0.2630,0
0.4240,1,187.1873,0.2640,0
0.4250,1,187.0566,0.2630,0
0.4260,1,186.9257,0.2640,0
0.4270,1,186.7945,0.2650,0
0.4280,1,186.6631,0.2640,0
0.4290,1,186.5314,0.2630,0
0.4300,1,186.3994,0.2650,0
0.4310,1,186.2671,0.2650,0
0.4320,1,186.1346,0.2600,0
0.4330,1,186.0019,0.2610,0
0.4340,1,185.8688,0.2610,0
0.4350,1,185.7355,0.2620,0
0.4360,1,185.6020,0.2610,0
0.4370,1,185.4682,0.2850,0
0.4380,1,185.3341,0.2780,0
0.4390,1,185.1997,0.2700,0
0.4400,1,185.0651,0.2730,0
0.4410,1,184.9302,0.2630,0
0.4420,1,184.7951,0.2630,0
0.4430,1,184.6597,0.2650,0
0.4440,1,184.5240,0.2630,0
0.4450,1,184.3880,0.2640,0
0.4460,1,184.2518,0.2630,0
0.4470,1,184.1154,0.2630,0
0.4480,1,183.9786,0.2640,0
0.4490,1,183.8416,0.2620,0
0.4500,1,183.7044,0.2640,0
0.4510,1,183.5668,0.2640,0
0.4520,1,183.4291,0.2620,0
0.4530,1,183.2910,0.2620,0
0.4540,1,183.1527,0.2630,0
0.4550,1,183.0141,0.2630,0
0.4560,1,182.8752,0.2640,0
0.4570,1,182.7361,0.2620,0
0.4580,1,182.5968,0.2620,0
0.4590,1,182.4571,0.2620,0
0.4600,1,182.3172,0.2640,0
0.4610,1,182.1770,0.2620,0
0.4620,1,182.0366,0.2640,0
0.4630,1,181.8959,0.2630,0
0.4640,1,181.7549,0.2630,0
0.4650,1,181.6137,0.2620,0
0.4660,1,181.4722,0.2610,0
0.4670,1,181.3305,0.2620,0
0.4680,1,181.1884,0.2610,0
0.4690,1,181.0461,0.2620,0
0.4700,1,180.9036,0.2630,0
0.4710,1,180.7608,0.2610,0
0.4720,1,180.6177,0.2620,0
0.4730,1,180.4744,0.2610,0
0.4740,1,180.3307,0.2640,0
0.4750,1,180.1869,0.2640,0
0.4760,1,180.0427,0.2640,0
0.4770,1,179.8983,0.2620,0
0.4780,1,179.7537,0.2630,0
0.4790,1,179.6087,0.2610,0
0.4800,1,179.4635,0.2630,0
0.4810,1,179.3181,0.2630,0
0.4820,1,179.1723,0.2640,0
0.4830,1,179.0263,0.2640,0
0.4840,1,178.8801,0.2640,0
