Time,X,Y,Z,Vel_X,Vel_Y,Vel_Z,Err_Norm
0.203000,0.008251,-0.082512,0.033005,0.046225,-0.462250,0.184900,0.992415
0.204000,0.008297,-0.082974,0.033190,0.046225,-0.462250,0.184900,0.991915
0.205000,0.008344,-0.083436,0.033374,0.046225,-0.462250,0.184900,0.991415
0.206000,0.008390,-0.083898,0.033559,0.046225,-0.462250,0.184900,0.990915
0.207000,0.008436,-0.084361,0.033744,0.046225,-0.462250,0.184900,0.990415
0.208000,0.008482,-0.084823,0.033929,0.046225,-0.462250,0.184900,0.989915
0.209000,0.008529,-0.085285,0.034114,0.046225,-0.462250,0.184900,0.989415
0.210000,0.008575,-0.085747,0.034299,0.046225,-0.462250,0.184900,0.988915
0.211000,0.008621,-0.086210,0.034484,0.046225,-0.462250,0.184900,0.988415
0.212000,0.008667,-0.086672,0.034669,0.046225,-0.462250,0.184900,0.987915
0.213000,0.008713,-0.087134,0.034854,0.046225,-0.462250,0.184900,0.987415
0.214000,0.008760,-0.087596,0.035039,0.046225,-0.462250,0.184900,0.986915
0.215000,0.008806,-0.088059,0.035223,0.046225,-0.462250,0.184900,0.986415
0.216000,0.008852,-0.088521,0.035408,0.046225,-0.462250,0.184900,0.985915
0.217000,0.008898,-0.088983,0.035593,0.046225,-0.462250,0.184900,0.985415
0.218000,0.008945,-0.089445,0.035778,0.046225,-0.462250,0.184900,0.984915
0.219000,0.008991,-0.089908,0.035963,0.046225,-0.462250,0.184900,0.984415
0.220000,0.009037,-0.090370,0.036148,0.046225,-0.462250,0.184900,0.983915
0.221000,0.009083,-0.090832,0.036333,0.046225,-0.462250,0.184900,0.983415
0.222000,0.009129,-0.091294,0.036518,0.046225,-0.462250,0.184900,0.982915
0.223000,0.009176,-0.091757,0.036703,0.046225,-0.462250,0.184900,0.982415
0.224000,0.009222,-0.092219,0.036888,0.046225,-0.462250,0.184900,0.981915
0.225000,0.009268,-0.092681,0.037072,0.046225,-0.462250,0.184900,0.981415
0.226000,0.009314,-0.093143,0.037257,0.046225,-0.462250,0.184900,0.980915
0.227000,0.009361,-0.093606,0.037442,0.046225,-0.462250,0.184900,0.980415
0.228000,0.009407,-0.094068,0.037627,0.046225,-0.462250,0.184900,0.979915
0.229000,0.009453,-0.094530,0.037812,0.046225,-0.462250,0.184900,0.979415
0.230000,0.009499,-0.094992,0.037997,0.046225,-0.462250,0.184900,0.978915
0.231000,0.009545,-0.095455,0.038182,0.046225,-0.462250,0.184900,0.978415
0.232000,0.009592,-0.095917,0.038367,0.046225,-0.462250,0.184900,0.977915
0.233000,0.009638,-0.096379,0.038552,0.046225,-0.462250,0.184900,0.977415
0.234000,0.009684,-0.096841,0.038737,0.046225,-0.462250,0.184900,0.976915
