Time,Step,TCP_Z,P_Err,V_Norm,J1_P,J1_V,J1_A,J2_P,J2_V,J2_A,J3_P,J3_V,J3_A,J4_P,J4_V,J4_A,J5_P,J5_V,J5_A,J6_P,J6_V,J6_A,Kp
0.077,UP,0.651517,0.0999829,0.157668,-3.16642e-08,-2.01236e-06,-5.67285e-05,-4.87673e-07,-3.02372e-05,-0.000746239,89.9982,-0.11148,-3.14261,2.11063e-09,1.34138e-07,3.78149e-06,90.0018,0.111496,3.14298,-3.1661e-08,-2.01216e-06,-5.67224e-05,500
0.078,UP,0.651518,0.0999818,0.162058,-3.37326e-08,-2.0684e-06,-5.60403e-05,-5.18636e-07,-3.09624e-05,-0.000725146,89.9981,-0.114584,-3.10448,2.24851e-09,1.37874e-07,3.73563e-06,90.0019,0.114601,3.10484,-3.37292e-08,-2.06819e-06,-5.60343e-05,500
0.079,UP,0.651519,0.0999806,0.166398,-3.58564e-08,-2.12379e-06,-5.53828e-05,-5.50302e-07,-3.16666e-05,-0.000704236,89.998,-0.117652,-3.06807,2.39007e-09,1.41566e-07,3.69182e-06,90.002,0.11767,3.06841,-3.58528e-08,-2.12357e-06,-5.53769e-05,500
0.08,UP,0.651521,0.0999794,0.170688,-3.8035e-08,-2.17854e-06,-5.47548e-05,-5.82652e-07,-3.23501e-05,-0.000683491,89.9979,-0.120685,-3.03328,2.53529e-09,1.45216e-07,3.64998e-06,90.0021,0.120703,3.0336,-3.80311e-08,-2.17832e-06,-5.47488e-05,500
0.081,UP,0.651522,0.0999782,0.17493,-4.02677e-08,-2.2327e-06,-5.41549e-05,-6.15665e-07,-3.3013e-05,-0.000662893,89.9978,-0.123685,-3.00005,2.68411e-09,1.48826e-07,3.61001e-06,90.0022,0.123704,3.00035,-4.02636e-08,-2.23247e-06,-5.41489e-05,500
0.082,UP,0.651523,0.099977,0.179129,-4.25539e-08,-2.28628e-06,-5.35817e-05,-6.49321e-07,-3.36554e-05,-0.000642426,89.9976,-0.126654,-2.96831,2.83651e-09,1.52398e-07,3.57183e-06,90.0024,0.126672,2.96859,-4.25496e-08,-2.28604e-06,-5.35758e-05,500
0.083,UP,0.651524,0.0999757,0.183284,-4.48932e-08,-2.33931e-06,-5.30343e-05,-6.83598e-07,-3.42775e-05,-0.000622073,89.9975,-0.129592,-2.93798,2.99244e-09,1.55933e-07,3.53535e-06,90.0025,0.12961,2.93825,-4.48887e-08,-2.33907e-06,-5.30284e-05,500
0.084,UP,0.651526,0.0999744,0.187398,-4.72851e-08,-2.39182e-06,-5.25113e-05,-7.18477e-07,-3.48793e-05,-0.000601819,89.9974,-0.132501,-2.90901,3.15188e-09,1.59433e-07,3.50051e-06,90.0026,0.13252,2.90927,-4.72803e-08,-2.39158e-06,-5.25054e-05,500
0.085,UP,0.651527,0.0999731,0.191473,-4.97289e-08,-2.44384e-06,-5.20117e-05,-7.53938e-07,-3.54609e-05,-0.00058165,89.9972,-0.135382,-2.88134,3.31478e-09,1.62901e-07,3.46723e-06,90.0028,0.135401,2.88158,-4.97239e-08,-2.44358e-06,-5.20058e-05,500
0.086,UP,0.651528,0.0999718,0.19551,-5.22243e-08,-2.49537e-06,-5.15344e-05,-7.89961e-07,-3.60225e-05,-0.000561552,89.9971,-0.138237,-2.85491,3.48111e-09,1.66336e-07,3.43545e-06,90.0029,0.138256,2.85513,-5.2219e-08,-2.49511e-06,-5.15286e-05,500
0.087,UP,0.65153,0.0999704,0.199512,-5.47707e-08,-2.54645e-06,-5.10785e-05,-8.26525e-07,-3.6564e-05,-0.000541511,89.997,-0.141067,-2.82966,3.65086e-09,1.69741e-07,3.40508e-06,90.003,0.141086,2.82987,-5.47651e-08,-2.54618e-06,-5.10727e-05,500
0.088,UP,0.651531,0.099969,0.20348,-5.73678e-08,-2.59709e-06,-5.0643e-05,-8.6361e-07,-3.70855e-05,-0.000521514,89.9968,-0.143872,-2.80554,3.82397e-09,1.73117e-07,3.37607e-06,90.0032,0.143892,2.80573,-5.7362e-08,-2.59682e-06,-5.06372e-05,500
0.089,UP,0.651532,0.0999676,0.207415,-6.00151e-08,-2.64732e-06,-5.02269e-05,-9.01197e-07,-3.75871e-05,-0.00050155,89.9967,-0.146655,-2.7825,4.00044e-09,1.76466e-07,3.34837e-06,90.0033,0.146675,2.78267,-6.0009e-08,-2.64704e-06,-5.02211e-05,500
0.09,UP,0.651534,0.0999661,0.211319,-6.27123e-08,-2.69715e-06,-4.98295e-05,-9.39266e-07,-3.80687e-05,-0.000481606,89.9965,-0.149415,-2.7605,4.18023e-09,1.79788e-07,3.3219e-06,90.0035,0.149435,2.76065,-6.27059e-08,-2.69687e-06,-4.98237e-05,500
0.091,UP,0.651535,0.0999646,0.215194,-6.54589e-08,-2.7466e-06,-4.94498e-05,-9.77797e-07,-3.85303e-05,-0.000461672,89.9964,-0.152155,-2.73947,4.36331e-09,1.83084e-07,3.29662e-06,90.0036,0.152175,2.73961,-6.54522e-08,-2.74631e-06,-4.9444e-05,500
0.092,UP,0.651537,0.0999631,0.219039,-6.82546e-08,-2.79569e-06,-4.90871e-05,-1.01677e-06,-3.89721e-05,-0.000441736,89.9962,-0.154874,-2.71939,4.54967e-09,1.86357e-07,3.27248e-06,90.0038,0.154895,2.71951,-6.82476e-08,-2.79539e-06,-4.90813e-05,500
0.093,UP,0.651538,0.0999616,0.222858,-7.1099e-08,-2.84443e-06,-4.87407e-05,-1.05616e-06,-3.93939e-05,-0.00042179,89.9961,-0.157574,-2.70021,4.73927e-09,1.89606e-07,3.24941e-06,90.0039,0.157595,2.70031,-7.10917e-08,-2.84413e-06,-4.87349e-05,500
0.094,UP,0.65154,0.09996,0.226651,-7.39918e-08,-2.89284e-06,-4.84097e-05,-1.09596e-06,-3.97957e-05,-0.000401822,89.9959,-0.160256,-2.68188,4.93211e-09,1.92833e-07,3.22738e-06,90.0041,0.160277,2.68196,-7.39842e-08,-2.89253e-06,-4.84039e-05,500
0.095,UP,0.651542,0.0999584,0.230419,-7.69328e-08,-2.94093e-06,-4.80935e-05,-1.13614e-06,-4.01775e-05,-0.000381825,89.9957,-0.162921,-2.66438,5.12815e-09,1.9604e-07,3.20634e-06,90.0043,0.162941,2.66444,-7.69249e-08,-2.94062e-06,-4.80877e-05,500
0.096,UP,0.651543,0.0999568,0.234163,-7.99215e-08,-2.98872e-06,-4.77915e-05,-1.17667e-06,-4.05393e-05,-0.000361788,89.9956,-0.165568,-2.64766,5.32737e-09,1.99226e-07,3.18624e-06,90.0044,0.165589,2.6477,-7.99133e-08,-2.9884e-06,-4.77857e-05,500
0.097,UP,0.651545,0.0999552,0.237885,-8.29577e-08,-3.03622e-06,-4.7503e-05,-1.21756e-06,-4.0881e-05,-0.000341703,89.9954,-0.1682,-2.63169,5.52977e-09,2.02393e-07,3.16704e-06,90.0046,0.168221,2.63171,-8.29492e-08,-3.0359e-06,-4.74971e-05,500
0.098,UP,0.651547,0.0999535,0.241585,-8.60411e-08,-3.08345e-06,-4.72273e-05,-1.25876e-06,-4.12026e-05,-0.000321563,89.9952,-0.170816,-2.61643,5.73531e-09,2.05542e-07,3.1487e-06,90.0048,0.170837,2.61644,-8.60323e-08,-3.08312e-06,-4.72215e-05,500
0.099,UP,0.651548,0.0999518,0.245265,-8.91716e-08,-3.13041e-06,-4.6964e-05,-1.30026e-06,-4.15039e-05,-0.000301359,89.9951,-0.173418,-2.60186,5.94398e-09,2.08673e-07,3.13119e-06,90.0049,0.173439,2.60185,-8.91624e-08,-3.13008e-06,-4.69582e-05,500
0.1,UP,0.65155,0.0999501,0.248925,-9.23487e-08,-3.17713e-06,-4.67125e-05,-1.34205e-06,-4.1785e-05,-0.000281084,89.9949,-0.176006,-2.58794,6.15577e-09,2.11787e-07,3.11446e-06,90.0051,0.176027,2.58791,-9.23392e-08,-3.17679e-06,-4.67066e-05,500
0.101,UP,0.651552,0.0999483,0.252566,-9.55723e-08,-3.2236e-06,-4.64722e-05,-1.38409e-06,-4.20457e-05,-0.000260731,89.9947,-0.178581,-2.57464,6.37065e-09,2.14886e-07,3.09848e-06,90.0053,0.178601,2.57459,-9.55624e-08,-3.22325e-06,-4.64663e-05,500
0.102,UP,0.651553,0.0999466,0.256189,-9.88421e-08,-3.26984e-06,-4.62427e-05,-1.42638e-06,-4.2286e-05,-0.000240293,89.9945,-0.181143,-2.56194,6.58862e-09,2.17969e-07,3.08322e-06,90.0055,0.181163,2.56187,-9.88319e-08,-3.26949e-06,-4.62368e-05,500
0.103,UP,0.651555,0.0999448,0.259795,-1.02158e-07,-3.31587e-06,-4.60234e-05,-1.46889e-06,-4.25058e-05,-0.000219764,89.9943,-0.183692,-2.54981,6.80966e-09,2.21038e-07,3.06864e-06,90.0057,0.183713,2.54972,-1.02147e-07,-3.31551e-06,-4.60175e-05,500
0.104,UP,0.651557,0.099943,0.263384,-1.0552e-07,-3.36168e-06,-4.58139e-05,-1.51159e-06,-4.27049e-05,-0.000199137,89.9942,-0.186231,-2.53822,7.03375e-09,2.24093e-07,3.05472e-06,90.0058,0.186251,2.53811,-1.05509e-07,-3.36132e-06,-4.5808e-05,500
0.105,UP,0.651559,0.0999411,0.266958,-1.08927e-07,-3.40729e-06,-4.56138e-05,-1.55447e-06,-4.28834e-05,-0.000178406,89.994,-0.188758,-2.52715,7.26089e-09,2.27134e-07,3.04142e-06,90.006,0.188778,2.52702,-1.08916e-07,-3.40692e-06,-4.56078e-05,500
0.106,UP,0.651561,0.0999392,0.270517,-1.1238e-07,-3.45272e-06,-4.54226e-05,-1.59751e-06,-4.30409e-05,-0.000157566,89.9938,-0.191274,-2.51657,7.49105e-09,2.30163e-07,3.02872e-06,90.0062,0.191295,2.51643,-1.12368e-07,-3.45234e-06,-4.54166e-05,500
0.107,UP,0.651563,0.0999374,0.274062,-1.15878e-07,-3.49796e-06,-4.524e-05,-1.64069e-06,-4.31775e-05,-0.000136611,89.9936,-0.193781,-2.50648,7.72423e-09,2.33179e-07,3.01659e-06,90.0064,0.193801,2.50631,-1.15866e-07,-3.49757e-06,-4.5234e-05,500
0.108,UP,0.651565,0.0999354,0.277593,-1.19421e-07,-3.54302e-06,-4.50656e-05,-1.68398e-06,-4.32931e-05,-0.000115536,89.9934,-0.196278,-2.49683,7.96041e-09,2.36184e-07,3.005e-06,90.0066,0.196298,2.49665,-1.19408e-07,-3.54263e-06,-4.50595e-05,500
0.109,UP,0.651567,0.0999335,0.28111,-1.23009e-07,-3.58792e-06,-4.48989e-05,-1.72737e-06,-4.33874e-05,-9.43354e-05,89.9932,-0.198765,-2.48761,8.19959e-09,2.39178e-07,2.99394e-06,90.0068,0.198785,2.48741,-1.22996e-07,-3.58753e-06,-4.48928e-05,500
0.11,UP,0.651568,0.0999315,0.284616,-1.26641e-07,-3.63266e-06,-4.47397e-05,-1.77083e-06,-4.34604e-05,-7.30049e-05,89.993,-0.201244,-2.47881,8.44175e-09,2.42162e-07,2.98337e-06,90.007,0.201264,2.47859,-1.26628e-07,-3.63226e-06,-4.47335e-05,500
0.111,UP,0.65157,0.0999295,0.288109,-1.30318e-07,-3.67725e-06,-4.45876e-05,-1.81434e-06,-4.35119e-05,-5.15397e-05,89.9928,-0.203715,-2.47041,8.68689e-09,2.45135e-07,2.97328e-06,90.0072,0.203734,2.47016,-1.30305e-07,-3.67684e-06,-4.45814e-05,500
0.112,UP,0.651572,0.0999275,0.291592,-1.3404e-07,-3.72169e-06,-4.44423e-05,-1.85789e-06,-4.35419e-05,-2.99354e-05,89.9926,-0.206177,-2.46238,8.93499e-09,2.48098e-07,2.96364e-06,90.0074,0.206196,2.46211,-1.34026e-07,-3.72128e-06,-4.44361e-05,500
0.113,UP,0.651575,0.0999255,0.295063,-1.37806e-07,-3.76599e-06,-4.43035e-05,-1.90144e-06,-4.35501e-05,-8.18778e-06,89.9924,-0.208632,-2.45471,9.18604e-09,2.51053e-07,2.95444e-06,90.0076,0.20865,2.45442,-1.37792e-07,-3.76557e-06,-4.42972e-05,500
