Time,Step,X,Y,Z,Att_X,Att_Y,Att_Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Vel_Norm,Reached
0.098000,1,0.083111,0.034500,0.989745,0.108444,0.034500,1.006564,0.227866,0.034500,1.086179,0.173936,0.000000,0.000000,0
0.099000,1,0.083295,0.034500,0.989871,0.108860,0.034500,1.006841,0.227866,0.034500,1.086179,0.173713,0.000001,0.000000,0
0.100000,1,0.083484,0.034500,0.989999,0.109276,0.034500,1.007119,0.227866,0.034500,1.086179,0.173485,0.000001,0.000000,0
0.101000,1,0.083676,0.034500,0.990130,0.109692,0.034500,1.007396,0.227866,0.034500,1.086179,0.173252,0.000001,0.000000,0
0.102000,1,0.083873,0.034500,0.990264,0.110108,0.034500,1.007674,0.227866,0.034500,1.086179,0.173014,0.000001,0.000000,0
0.103000,1,0.084073,0.034500,0.990401,0.110524,0.034500,1.007951,0.227866,0.034500,1.086179,0.172771,0.000001,0.000000,0
0.104000,1,0.084278,0.034500,0.990541,0.110940,0.034500,1.008228,0.227866,0.034500,1.086179,0.172524,0.000001,0.000000,0
0.105000,1,0.084486,0.034500,0.990683,0.111357,0.034500,1.008506,0.227866,0.034500,1.086179,0.172271,0.000001,0.000000,0
0.106000,1,0.084699,0.034500,0.990828,0.111773,0.034500,1.008783,0.227866,0.034500,1.086179,0.172014,0.000001,0.000000,0
0.107000,1,0.084916,0.034500,0.990976,0.112189,0.034500,1.009060,0.227866,0.034500,1.086179,0.171752,0.000001,0.000000,0
0.108000,1,0.085137,0.034500,0.991126,0.112605,0.034500,1.009338,0.227866,0.034500,1.086179,0.171484,0.000001,0.000000,0
0.109000,1,0.085362,0.034500,0.991279,0.113021,0.034500,1.009615,0.227866,0.034500,1.086179,0.171212,0.000001,0.000000,0
0.110000,1,0.085591,0.034500,0.991436,0.113437,0.034500,1.009892,0.227866,0.034500,1.086179,0.170934,0.000001,0.000000,0
0.111000,1,0.085825,0.034500,0.991595,0.113853,0.034500,1.010170,0.227866,0.034500,1.086179,0.170652,0.000001,0.000000,0
0.112000,1,0.086062,0.034500,0.991756,0.114269,0.034500,1.010447,0.227866,0.034500,1.086179,0.170365,0.000001,0.000000,0
0.113000,1,0.086304,0.034500,0.991921,0.114685,0.034500,1.010724,0.227866,0.034500,1.086179,0.170072,0.000001,0.000000,0
0.114000,1,0.086550,0.034500,0.992088,0.115101,0.034500,1.011002,0.227866,0.034500,1.086179,0.169775,0.000001,0.000000,0
0.115000,1,0.086800,0.034500,0.992259,0.115517,0.034500,1.011279,0.227866,0.034500,1.086179,0.169472,0.000001,0.000000,0
0.116000,1,0.087055,0.034500,0.992432,0.115933,0.034500,1.011556,0.227866,0.034500,1.086179,0.169164,0.000001,0.000000,0
0.117000,1,0.087313,0.034500,0.992607,0.116349,0.034500,1.011834,0.227866,0.034500,1.086179,0.168852,0.000001,0.000000,0
0.118000,1,0.087576,0.034500,0.992786,0.116765,0.034500,1.012111,0.227866,0.034500,1.086179,0.168534,0.000001,0.000000,0
0.119000,1,0.087843,0.034500,0.992968,0.117181,0.034500,1.012388,0.227866,0.034500,1.086179,0.168211,0.000002,0.000000,0
0.120000,1,0.088114,0.034500,0.993152,0.117597,0.034500,1.012666,0.227866,0.034500,1.086179,0.167883,0.000002,0.000000,0
0.121000,1,0.088390,0.034500,0.993339,0.118013,0.034500,1.012943,0.227866,0.034500,1.086179,0.167550,0.000002,0.000000,0
0.122000,1,0.088670,0.034500,0.993529,0.118429,0.034500,1.013221,0.227866,0.034500,1.086179,0.167212,0.000002,0.000000,0
0.123000,1,0.088954,0.034500,0.993722,0.118845,0.034500,1.013498,0.227866,0.034500,1.086179,0.166868,0.000002,0.000000,0
0.124000,1,0.089242,0.034500,0.993917,0.119261,0.034500,1.013775,0.227866,0.034500,1.086179,0.166520,0.000002,0.000000,0
0.125000,1,0.089535,0.034500,0.994116,0.119677,0.034500,1.014053,0.227866,0.034500,1.086179,0.166166,0.000002,0.000000,0
0.126000,1,0.089832,0.034500,0.994317,0.120093,0.034500,1.014330,0.227866,0.034500,1.086179,0.165808,0.000002,0.000000,0
0.127000,1,0.090133,0.034500,0.994521,0.120509,0.034500,1.014607,0.227866,0.034500,1.086179,0.165444,0.000003,0.000000,0
0.128000,1,0.090438,0.034500,0.994727,0.120925,0.034500,1.014885,0.227866,0.034500,1.086179,0.165075,0.000003,0.000000,0
0.129000,1,0.090748,0.034500,0.994937,0.121341,0.034500,1.015162,0.227866,0.034500,1.086179,0.164702,0.000003,0.000000,0
0.130000,1,0.091062,0.034500,0.995149,0.121757,0.034500,1.015439,0.227866,0.034500,1.086179,0.164323,0.000003,0.000000,0
0.131000,1,0.091380,0.034500,0.995364,0.122173,0.034500,1.015717,0.227866,0.034500,1.086179,0.163939,0.000004,0.000000,0
0.132000,1,0.091702,0.034500,0.995582,0.122589,0.034500,1.015994,0.227866,0.034500,1.086179,0.163550,0.000004,0.000000,0
0.133000,1,0.092029,0.034500,0.995803,0.123005,0.034500,1.016271,0.227866,0.034500,1.086179,0.163156,0.000004,0.000000,0
0.134000,1,0.092359,0.034500,0.996026,0.123421,0.034500,1.016549,0.227866,0.034500,1.086179,0.162757,0.000004,0.000000,0
0.135000,1,0.092694,0.034500,0.996252,0.123837,0.034500,1.016826,0.227866,0.034500,1.086179,0.162352,0.000005,0.000000,0
