Time,Step,TCP_Z,P_Err,J3_Acc,Kp
0.459,UP,0.652191,0.0993094,-0.0288148,100
0.46,UP,0.652193,0.0993069,-0.0282417,100
0.461,UP,0.652196,0.0993044,-0.027678,100
0.462,UP,0.652198,0.099302,-0.0271233,100
0.463,UP,0.6522,0.0992995,-0.0265777,100
0.464,UP,0.652203,0.099297,-0.0260409,100
0.465,UP,0.652205,0.0992946,-0.0255128,100
0.466,UP,0.652208,0.0992921,-0.0249933,100
0.467,UP,0.65221,0.0992896,-0.0244823,100
0.468,UP,0.652213,0.0992872,-0.0239795,100
0.469,UP,0.652215,0.0992847,-0.023485,100
0.47,UP,0.652218,0.0992822,-0.0229985,100
0.471,UP,0.65222,0.0992797,-0.02252,100
0.472,UP,0.652223,0.0992773,-0.0220493,100
0.473,UP,0.652225,0.0992748,-0.0215863,100
0.474,UP,0.652228,0.0992723,-0.0211308,100
0.475,UP,0.65223,0.0992699,-0.0206828,100
0.476,UP,0.652233,0.0992674,-0.0202422,100
0.477,UP,0.652235,0.0992649,-0.0198088,100
0.478,UP,0.652238,0.0992624,-0.0193825,100
0.479,UP,0.65224,0.09926,-0.0189632,100
0.48,UP,0.652243,0.0992575,-0.0185508,100
0.481,UP,0.652245,0.099255,-0.0181451,100
0.482,UP,0.652247,0.0992525,-0.0177462,100
0.483,UP,0.65225,0.0992501,-0.0173538,100
0.484,UP,0.652252,0.0992476,-0.0169679,100
0.485,UP,0.652255,0.0992451,-0.0165884,100
0.486,UP,0.652257,0.0992427,-0.0162151,100
0.487,UP,0.65226,0.0992402,-0.015848,100
0.488,UP,0.652262,0.0992377,-0.015487,100
0.489,UP,0.652265,0.0992352,-0.0151319,100
0.49,UP,0.652267,0.0992328,-0.0147827,100
0.491,UP,0.65227,0.0992303,-0.0144393,100
0.492,UP,0.652272,0.0992278,-0.0141016,100
0.493,UP,0.652275,0.0992253,-0.0137695,100
0.494,UP,0.652277,0.0992229,-0.0134429,100
0.495,UP,0.65228,0.0992204,-0.0131218,100
0.496,UP,0.652282,0.0992179,-0.0128059,100
0.497,UP,0.652285,0.0992154,-0.0124954,100
0.498,UP,0.652287,0.099213,-0.01219,100
0.499,UP,0.65229,0.0992105,-0.0118897,100
0.5,UP,0.652292,0.099208,-0.0115944,100
0.501,UP,0.652294,0.0992055,-0.011304,100
0.502,UP,0.652297,0.0992031,-0.0110184,100
0.503,UP,0.652299,0.0992006,-0.0107377,100
0.504,UP,0.652302,0.0991981,-0.0104616,100
0.505,UP,0.652304,0.0991956,-0.0101902,100
0.506,UP,0.652307,0.0991931,-0.00992324,100
0.507,UP,0.652309,0.0991907,-0.0096608,100
0.508,UP,0.652312,0.0991882,-0.00940275,100
0.509,UP,0.652314,0.0991857,-0.00914904,100
0.51,UP,0.652317,0.0991832,-0.00889957,100
0.511,UP,0.652319,0.0991808,-0.0086543,100
0.512,UP,0.652322,0.0991783,-0.00841314,100
0.513,UP,0.652324,0.0991758,-0.00817604,100
0.514,UP,0.652327,0.0991733,-0.00794292,100
0.515,UP,0.652329,0.0991709,-0.00771372,100
0.516,UP,0.652332,0.0991684,-0.00748839,100
0.517,UP,0.652334,0.0991659,-0.00726685,100
0.518,UP,0.652337,0.0991634,-0.00704904,100
0.519,UP,0.652339,0.099161,-0.00683491,100
0.52,UP,0.652342,0.0991585,-0.00662439,100
0.521,UP,0.652344,0.099156,-0.00641742,100
0.522,UP,0.652346,0.0991535,-0.00621395,100
0.523,UP,0.652349,0.099151,-0.00601392,100
0.524,UP,0.652351,0.0991486,-0.00581727,100
0.525,UP,0.652354,0.0991461,-0.00562395,100
0.526,UP,0.652356,0.0991436,-0.0054339,100
0.527,UP,0.652359,0.0991411,-0.00524707,100
0.528,UP,0.652361,0.0991387,-0.00506341,100
0.529,UP,0.652364,0.0991362,-0.00488286,100
0.53,UP,0.652366,0.0991337,-0.00470538,100
0.531,UP,0.652369,0.0991312,-0.00453091,100
0.532,UP,0.652371,0.0991287,-0.0043594,100
0.533,UP,0.652374,0.0991263,-0.00419081,100
0.534,UP,0.652376,0.0991238,-0.00402508,100
0.535,UP,0.652379,0.0991213,-0.00386217,100
0.536,UP,0.652381,0.0991188,-0.00370203,100
0.537,UP,0.652384,0.0991164,-0.00354462,100
0.538,UP,0.652386,0.0991139,-0.0033899,100
0.539,UP,0.652389,0.0991114,-0.00323781,100
0.54,UP,0.652391,0.0991089,-0.00308831,100
0.541,UP,0.652394,0.0991065,-0.00294137,100
